,precision,recall,f1-score,support
0,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
1,1.0,0.8918918918918919,0.9428571428571428,37.0
2,0.3333333333333333,0.5,0.4,2.0
3,1.0,1.0,1.0,45.0
4,0.9285714285714286,0.65,0.7647058823529412,20.0
5,0.7916666666666666,0.9047619047619048,0.8444444444444444,21.0
6,0.75,1.0,0.8571428571428571,6.0
7,1.0,1.0,1.0,3.0
8,0.9047619047619048,0.95,0.9268292682926829,40.0
9,0.9047619047619048,1.0,0.9500000000000001,19.0
10,1.0,1.0,1.0,5.0
accuracy,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
macro avg,0.8638167388167389,0.8895947895947895,0.8704425894526324,216.0
weighted avg,0.9247409611992947,0.9166666666666666,0.9165703386142171,216.0
