,precision,recall,f1-score,support
0,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
1,1.0,0.8918918918918919,0.9428571428571428,37.0
2,0.3333333333333333,0.5,0.4,2.0
3,1.0,0.9555555555555556,0.9772727272727273,45.0
4,0.9375,0.75,0.8333333333333334,20.0
5,0.7916666666666666,0.9047619047619048,0.8444444444444444,21.0
6,0.8571428571428571,1.0,0.923076923076923,6.0
7,1.0,1.0,1.0,3.0
8,0.9047619047619048,0.95,0.9268292682926829,40.0
9,0.8636363636363636,1.0,0.9268292682926829,19.0
10,1.0,1.0,1.0,5.0
accuracy,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
macro avg,0.8706300013118196,0.8946452946452946,0.8785029087689842,216.0
weighted avg,0.9249263468013468,0.9166666666666666,0.9179832193551705,216.0
