class;precision;recall;f1-score;support
0;0.857143;0.631579;0.727273;19.000.000
1;0.975610;0.975610;0.975610;41.000.000
2;0.250000;1.000.000;0.400000;1.000.000
3;0.976190;0.976190;0.976190;42.000.000
4;1.000.000;0.789474;0.882353;19.000.000
5;0.913043;0.913043;0.913043;23.000.000
6;0.833333;1.000.000;0.909091;5.000.000
7;1.000.000;0.833333;0.909091;6.000.000
8;0.886364;0.975000;0.928571;40.000.000
9;0.851852;0.958333;0.901961;24.000.000
10;1.000.000;0.500000;0.666667;2.000.000
accuracy;0.914414;0.914414;0.914414;0.914414
macro avg;0.867594;0.868415;0.835441;222.000.000
weighted avg;0.926132;0.914414;0.914893;222.000.000
