,precision,recall,f1-score,support
0,0.9782608695652174,0.9574468085106383,0.967741935483871,47.0
1,0.6666666666666666,1.0,0.8,2.0
2,0.9117647058823529,0.9393939393939394,0.9253731343283583,33.0
3,0.9166666666666666,0.8461538461538461,0.8799999999999999,13.0
4,0.9761904761904762,0.9318181818181818,0.9534883720930233,44.0
5,0.967741935483871,0.9375,0.9523809523809523,32.0
6,1.0,1.0,1.0,13.0
7,0.8333333333333334,1.0,0.9090909090909091,5.0
8,0.8928571428571429,0.8928571428571429,0.8928571428571429,28.0
9,0.8666666666666667,0.8666666666666667,0.8666666666666667,15.0
10,0.8666666666666667,1.0,0.9285714285714286,13.0
accuracy,0.9346938775510204,0.9346938775510204,0.9346938775510204,0.9346938775510204
macro avg,0.897892284543551,0.9428942350364015,0.9160155037702139,245.0
weighted avg,0.9374283770811471,0.9346938775510204,0.9351336586356914,245.0
