class;precision;recall;f1-score;support
0;1.000.000;1.000.000;1.000.000;51.000.000
1;1.000.000;1.000.000;1.000.000;5.000.000
2;0.966667;1.000.000;0.983051;29.000.000
3;1.000.000;0.846154;0.916667;13.000.000
4;0.981481;1.000.000;0.990654;53.000.000
5;0.950000;1.000.000;0.974359;19.000.000
6;1.000.000;1.000.000;1.000.000;12.000.000
7;0.900000;1.000.000;0.947368;9.000.000
8;1.000.000;0.833333;0.909091;24.000.000
9;0.846154;1.000.000;0.916667;11.000.000
10;1.000.000;1.000.000;1.000.000;13.000.000
accuracy;0.974895;0.974895;0.974895;0.974895
macro avg;0.967664;0.970862;0.967078;239.000.000
weighted avg;0.977027;0.974895;0.974353;239.000.000
