class;precision;recall;f1-score;support
0;0.969231;0.900000;0.933333;7.000.000
1;0.978261;0.978261;0.978261;4.600.000
2;0.882353;1.000.000;0.937500;3.000.000
3;0.981132;0.945455;0.962963;5.500.000
4;0.985507;0.944444;0.964539;7.200.000
5;0.930233;0.952381;0.941176;4.200.000
6;0.944444;1.000.000;0.971429;1.700.000
7;0.933333;0.933333;0.933333;1.500.000
8;0.921875;0.921875;0.921875;6.400.000
9;0.850000;0.971429;0.906667;3.500.000
10;1.000.000;0.933333;0.965517;1.500.000
accuracy;0.945770;0.945770;0.945770;0.94577
macro avg;0.943306;0.952774;0.946963;46.100.000
weighted avg;0.948180;0.945770;0.946047;46.100.000
