,precision,recall,f1-score,support
0,0.9384615384615385,0.9384615384615385,0.9384615384615385,65.0
1,0.9714285714285714,0.8717948717948718,0.9189189189189189,39.0
2,0.8888888888888888,0.9142857142857143,0.9014084507042254,35.0
3,0.9642857142857143,0.9310344827586207,0.9473684210526316,58.0
4,0.9482758620689655,0.859375,0.9016393442622951,64.0
5,0.8909090909090909,0.9245283018867925,0.9074074074074073,53.0
6,0.9047619047619048,1.0,0.9500000000000001,19.0
7,0.8888888888888888,1.0,0.9411764705882353,8.0
8,0.9,0.9264705882352942,0.9130434782608695,68.0
9,0.8648648648648649,0.9411764705882353,0.9014084507042254,34.0
10,0.8947368421052632,0.9444444444444444,0.918918918918919,18.0
accuracy,0.9197396963123644,0.9197396963123644,0.9197396963123644,0.9197396963123644
macro avg,0.9141365606057902,0.9319610374959556,0.9217955817526605,461.0
weighted avg,0.9215737303272883,0.9197396963123644,0.9197110820170218,461.0
